Weather_Status,Daytime_Icons,Nighttime_Icons
0,station:|file:!prophet/Packs/Symbol/Weather/tornado.png,station:|file:!prophet/Packs/Symbol/Weather/tornado.png
1,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
2,station:|file:!prophet/Packs/Symbol/Weather/tornado.png,station:|file:!prophet/Packs/Symbol/Weather/tornado.png
3,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
4,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
5,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
6,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
7,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
8,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
9,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
10,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
11,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
12,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
13,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
14,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
15,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
16,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
17,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
18,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
19,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
20,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
21,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
22,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
23,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
24,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
25,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
26,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
27,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
28,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/cloudy.png
29,station:|file:!prophet/Packs/Symbol/Weather/partly_cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/moon_partly_cloudy.png
30,station:|file:!prophet/Packs/Symbol/Weather/partly_cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/moon_partly_cloudy.png
31,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
32,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
33,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
34,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
35,station:|file:!prophet/Packs/Symbol/Weather/rain.png,station:|file:!prophet/Packs/Symbol/Weather/rain.png
36,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
37,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
38,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
39,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
40,station:|file:!prophet/Packs/Symbol/Weather/partly_cloudy_rain.png,station:|file:!prophet/Packs/Symbol/Weather/moon_partly_cloudy.png
41,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
42,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
43,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
44,station:|file:!prophet/Packs/Symbol/Weather/partly_cloudy.png,station:|file:!prophet/Packs/Symbol/Weather/moon_partly_cloudy.png
45,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
46,station:|file:!prophet/Packs/Symbol/Weather/snow.png,station:|file:!prophet/Packs/Symbol/Weather/snow.png
47,station:|file:!prophet/Packs/Symbol/Weather/lightning.png,station:|file:!prophet/Packs/Symbol/Weather/lightning.png
3200,station:|file:!prophet/Packs/Symbol/Weather/sunny.png,station:|file:!prophet/Packs/Symbol/Weather/full_moon.png
